Sequence_Name,Probability,Prediction
Positive_Human_28,1.0,HP
Positive_Human_80,1.0,HP
Positive_Human_87,1.0,HP
Positive_Human_55,0.981,HP
Positive_Human_18,1.0,HP
Positive_Human_4,1.0,HP
Positive_Human_15,1.0,HP
Positive_Human_82,0.9886,HP
Positive_Animal_475,0.263,non-HP
Positive_Animal_539,1.0,HP
Positive_Animal_477,1.0,HP
Positive_Animal_284,0.9938,HP
Positive_Animal_302,0.9957,HP
Positive_Animal_11,1.0,HP
Positive_Animal_174,0.9045,HP
Positive_Animal_33,0.9908,HP
Positive_Animal_127,1.0,HP
Positive_Animal_232,0.9466,HP
Positive_Animal_564,1.0,HP
Positive_Animal_333,1.0,HP
Positive_Animal_205,1.0,HP
Positive_Animal_103,0.9745,HP
Positive_Animal_354,1.0,HP
Positive_Animal_277,1.0,HP
Positive_Animal_476,0.9888,HP
Positive_Animal_534,1.0,HP
Positive_Animal_136,0.9871,HP
Positive_Animal_85,0.988,HP
Positive_Animal_485,1.0,HP
Positive_Animal_244,1.0,HP
Positive_Animal_338,0.9789,HP
Positive_Animal_132,1.0,HP
Positive_Animal_129,1.0,HP
Positive_Animal_71,1.0,HP
Positive_Animal_88,1.0,HP
Positive_Animal_247,0.988,HP
Positive_Animal_246,1.0,HP
Positive_Animal_20,0.9942,HP
Positive_Animal_332,1.0,HP
Positive_Animal_166,1.0,HP
Positive_Animal_557,1.0,HP
Positive_Animal_204,0.9555,HP
Positive_Animal_535,1.0,HP
Positive_Animal_520,1.0,HP
Positive_Animal_162,1.0,HP
Positive_Animal_446,1.0,HP
Positive_Animal_274,1.0,HP
Positive_Animal_542,0.94,HP
Positive_Animal_480,1.0,HP
Positive_Animal_395,0.96,HP
Positive_Animal_164,0.9968,HP
Positive_Animal_113,1.0,HP
Positive_Animal_49,1.0,HP
Positive_Animal_522,1.0,HP
Positive_Animal_225,0.8686,HP
Positive_Animal_409,0.5217,HP
Positive_Animal_439,0.9869,HP
Positive_Animal_270,1.0,HP
Positive_Animal_272,1.0,HP
Positive_Animal_147,0.8558,HP
Positive_Animal_406,1.0,HP
Positive_Animal_323,0.9509,HP
Positive_Animal_275,0.984,HP
Negative_Human_33,0.0437,non-HP
Negative_Human_60,0.0349,non-HP
Negative_Human_28,0.0032,non-HP
Negative_Human_73,0.0213,non-HP
Negative_Human_15,0.0112,non-HP
Negative_Human_61,0.0244,non-HP
Negative_Human_17,0.0252,non-HP
Negative_Human_31,0.0053,non-HP
Negative_Human_20,0.017,non-HP
Negative_Human_80,0.0541,non-HP
Negative_Human_3,0.0167,non-HP
Negative_Human_26,0.0226,non-HP
Negative_Human_32,0.0231,non-HP
Negative_Human_4,0.7891,HP
Negative_Human_6,0.0095,non-HP
Negative_Human_89,0.0277,non-HP
Negative_Human_9,0.0445,non-HP
Negative_Human_84,0.0229,non-HP
Negative_Animal_220,0.0208,non-HP
Negative_Animal_558,0.0823,non-HP
Negative_Animal_441,0.0269,non-HP
Negative_Animal_153,0.0278,non-HP
Negative_Animal_557,0.0054,non-HP
Negative_Animal_466,0.012,non-HP
Negative_Animal_231,0.0323,non-HP
Negative_Animal_195,0.0268,non-HP
Negative_Animal_268,0.0102,non-HP
Negative_Animal_398,0.0524,non-HP
Negative_Animal_116,0.0048,non-HP
Negative_Animal_317,0.0109,non-HP
Negative_Animal_405,0.0444,non-HP
Negative_Animal_306,0.0259,non-HP
Negative_Animal_311,0.0138,non-HP
Negative_Animal_214,0.0072,non-HP
Negative_Animal_392,0.0479,non-HP
Negative_Animal_286,0.0083,non-HP
Negative_Animal_61,0.0256,non-HP
Negative_Animal_128,0.0932,non-HP
Negative_Animal_44,0.0018,non-HP
Negative_Animal_156,0.0194,non-HP
Negative_Animal_486,0.015,non-HP
Negative_Animal_289,0.0171,non-HP
Negative_Animal_416,0.0277,non-HP
Negative_Animal_77,0.0276,non-HP
Negative_Animal_78,0.1896,non-HP
Negative_Animal_28,0.0214,non-HP
Negative_Animal_352,0.0983,non-HP
Negative_Animal_323,0.0542,non-HP
Negative_Animal_296,0.0137,non-HP
Negative_Animal_38,0.0323,non-HP
Negative_Animal_252,0.0604,non-HP
Negative_Animal_206,0.0064,non-HP
Negative_Animal_34,0.0019,non-HP
Negative_Animal_421,0.0257,non-HP
Negative_Animal_59,0.0239,non-HP
Negative_Animal_245,0.0725,non-HP
Negative_Animal_442,0.0195,non-HP
Negative_Animal_482,0.1051,non-HP
Negative_Animal_518,0.0366,non-HP
Negative_Animal_27,0.1039,non-HP
